

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    [::]:49667             [::]:0                 LISTENING       4084
  TCP    [::]:49668             [::]:0                 LISTENING       5484
  TCP    [::]:49678             [::]:0                 LISTENING       1700
  TCP    [::1]:7679             [::]:0                 LISTENING       13208
  TCP    [::1]:42050            [::]:0                 LISTENING       15696
  TCP    [::1]:49670            [::]:0                 LISTENING       7388
  TCP    [::1]:51982            [::1]:8503             SYN_SENT        11788
  TCP    [::1]:51983            [::1]:8503             SYN_SENT        11788
  TCP    [::1]:51986            [::1]:8505             SYN_SENT        11788
  TCP    [::1]:51987            [::1]:8505             SYN_SENT        11788
  TCP    [::1]:51988            [::1]:8501             SYN_SENT        11788
  TCP    [::1]:51989            [::1]:8501             SYN_SENT        11788
  TCP    [::1]:51990            [::1]:8501             SYN_SENT        11788
  TCP    [::1]:51991            [::1]:8501             SYN_SENT        11788
  TCP    [::1]:51992            [::1]:8502             SYN_SENT        11788
  TCP    [::1]:51993            [::1]:8506             SYN_SENT        11788
  TCP    [::1]:51994            [::1]:8506             SYN_SENT        11788
  TCP    [::1]:51995            [::1]:8502             SYN_SENT        11788
  TCP    [::1]:51997            [::1]:8501             SYN_SENT        11788
  TCP    [::1]:51998            [::1]:8501             SYN_SENT        11788
  TCP    [::1]:51999            [::1]:8504             SYN_SENT        11788
  TCP    [::1]:52000            [::1]:8504             SYN_SENT        11788
  UDP    0.0.0.0:53             *:*                                    6044
  UDP    0.0.0.0:68             *:*                                    2884
  UDP    0.0.0.0:123            *:*                                    51652
  UDP    0.0.0.0:5050           *:*                                    15160
  UDP    0.0.0.0:5353           *:*                                    3720
  UDP    0.0.0.0:5353           *:*                                    10096
  UDP    0.0.0.0:5353           *:*                                    3720
  UDP    0.0.0.0:5353           *:*                                    3720
  UDP    0.0.0.0:5353           *:*                                    10096
  UDP    0.0.0.0:5353           *:*                                    10096
  UDP    0.0.0.0:5353           *:*                                    3720
  UDP    0.0.0.0:5353           *:*                                    3720
  UDP    0.0.0.0:5353           *:*                                    3720
  UDP    0.0.0.0:5353           *:*                                    3720
  UDP    0.0.0.0:5353           *:*                                    2592
  UDP    0.0.0.0:5353           *:*                                    10096
  UDP    0.0.0.0:5353           *:*                                    10096
  UDP    0.0.0.0:5353           *:*                                    10096
  UDP    0.0.0.0:5353           *:*                                    10096
  UDP    0.0.0.0:5353           *:*                                    10096
  UDP    0.0.0.0:5353           *:*                                    10096
  UDP    0.0.0.0:5355           *:*                                    2592
  UDP    0.0.0.0:6646           *:*                                    9568
  UDP    0.0.0.0:50078          *:*                                    24136
  UDP    0.0.0.0:50236          *:*                                    11788
  UDP    0.0.0.0:51453          *:*                                    2592
  UDP    0.0.0.0:51454          *:*                                    11788
  UDP    0.0.0.0:55462          *:*                                    4
  UDP    0.0.0.0:55463          *:*                                    4
  UDP    0.0.0.0:55465          *:*                                    4
  UDP    0.0.0.0:55466          *:*                                    4
  UDP    0.0.0.0:56428          *:*                                    11788
  UDP    0.0.0.0:57666          *:*                                    2592
  UDP    0.0.0.0:58829          142.251.29.103:443                     55052
  UDP    0.0.0.0:60291          *:*                                    6044
  UDP    0.0.0.0:61615          *:*                                    6044
  UDP    0.0.0.0:63437          *:*                                    24136
  UDP    0.0.0.0:63965          *:*                                    5628
  UDP    0.0.0.0:64776          *:*                                    11788
  UDP    10.5.0.2:137           *:*                                    4
  UDP    10.5.0.2:138           *:*                                    4
  UDP    10.5.0.2:1900          *:*                                    22664
  UDP    10.5.0.2:63624         *:*                                    22664
  UDP    10.154.42.65:137       *:*                                    4
  UDP    10.154.42.65:138       *:*                                    4
  UDP    10.154.42.65:1900      *:*                                    22664
  UDP    10.154.42.65:63628     *:*                                    22664
  UDP    127.0.0.1:1900         *:*                                    22664
  UDP    127.0.0.1:10010        *:*                                    15716
  UDP    127.0.0.1:55467        127.0.0.1:55468                        6468
  UDP    127.0.0.1:55468        127.0.0.1:55467                        6468
  UDP    127.0.0.1:57070        *:*                                    2212
  UDP    127.0.0.1:58306        127.0.0.1:58306                        6116
  UDP    127.0.0.1:62388        127.0.0.1:62389                        30392
  UDP    127.0.0.1:62389        127.0.0.1:62388                        30392
  UDP    127.0.0.1:63629        *:*                                    22664
  UDP    127.0.0.1:63831        127.0.0.1:63832                        3204
  UDP    127.0.0.1:63832        127.0.0.1:63831                        3204
  UDP    127.0.0.1:65500        127.0.0.1:65501                        26336
  UDP    127.0.0.1:65501        127.0.0.1:65500                        26336
  UDP    127.0.0.1:65502        127.0.0.1:65503                        27984
  UDP    127.0.0.1:65503        127.0.0.1:65502                        27984
  UDP    127.0.0.1:65506        127.0.0.1:65507                        28752
  UDP    127.0.0.1:65507        127.0.0.1:65506                        28752
  UDP    169.254.26.202:137     *:*                                    4
  UDP    169.254.26.202:138     *:*                                    4
  UDP    169.254.26.202:1900    *:*                                    22664
  UDP    169.254.26.202:63627   *:*                                    22664
  UDP    169.254.203.250:137    *:*                                    4
  UDP    169.254.203.250:138    *:*                                    4
  UDP    169.254.203.250:1900   *:*                                    22664
  UDP    169.254.203.250:63626  *:*                                    22664
  UDP    172.27.32.1:137        *:*                                    4
  UDP    172.27.32.1:138        *:*                                    4
  UDP    172.27.32.1:1900       *:*                                    22664
  UDP    172.27.32.1:63625      *:*                                    22664
  UDP    [::]:123               *:*                                    51652
  UDP    [::]:5353              *:*                                    10096
  UDP    [::]:5353              *:*                                    2592
  UDP    [::]:5353              *:*                                    3720
  UDP    [::]:5353              *:*                                    3720
  UDP    [::]:5353              *:*                                    10096
  UDP    [::]:5353              *:*                                    3720
  UDP    [::]:5353              *:*                                    10096
  UDP    [::]:5353              *:*                                    10096
  UDP    [::]:5355              *:*                                    2592
  UDP    [::]:50078             *:*                                    24136
  UDP    [::]:51453             *:*                                    2592
  UDP    [::]:55464             *:*                                    4
  UDP    [::]:57666             *:*                                    2592
  UDP    [::]:61616             *:*                                    6044
  UDP    [::]:63437             *:*                                    24136
  UDP    [::]:63965             *:*                                    5628
  UDP    [::1]:1900             *:*                                    22664
  UDP    [::1]:63623            *:*                                    22664
  UDP    [fe80::37df:2575:c411:94fb%27]:1900  *:*                              
      22664
  UDP    [fe80::37df:2575:c411:94fb%27]:63621  *:*                             
       22664
  UDP    [fe80::8398:b989:ee3a:d1e1%65]:1900  *:*                              
      22664
  UDP    [fe80::8398:b989:ee3a:d1e1%65]:63619  *:*                             
       22664
  UDP    [fe80::e562:e4ef:aae6:b9ff%32]:1900  *:*                              
      22664
  UDP    [fe80::e562:e4ef:aae6:b9ff%32]:63622  *:*                             
       22664
  UDP    [fe80::fcc7:e7f3:c7d3:8c47%74]:1900  *:*                              
      22664
  UDP    [fe80::fcc7:e7f3:c7d3:8c47%74]:63620  *:*                             
       22664



